pa_ms,pa_anvisa_sim,dist_lev,tipo
HEXA CLOROFADOROEXANODIELINOGLICOL,CLORIDRATO DE AVIGLICINA,17.0,princípio ativo
N-(PHOSPHONOMITHYL)GLYCINE,SOPHORA FLAVESCENS,17.0,princípio ativo
N-(PHOSPHONOMETHYL)GLYCINE,PROMETRINA,17.0,princípio ativo
ACETYLPHOSPHDRAMIDOTHIOATE,ANILINOPIRIMIDINA,16.0,grupo químico
DIETILNITROFENILTHIOFOSFATO,DINITROANILINA,15.0,grupo químico
TETRACHLOROISOPHTHALONITRILE,ISOFTALONITRILA,15.0,grupo químico
DICLOROFENILTRICLOROETANO,CLORODIFENILSULFONA,14.0,grupo químico
2-PYRIDYLPHOSPHOROTHIOATE,PIRACLOSTROBINA,14.0,princípio ativo
ACIDODICLOROFENOXIACETICO,ACIDO LINOLEICO,13.0,princípio ativo
DMA 806 BR MATA MATO,FORMETANATO,13.0,princípio ativo
N-PHOPHONOMETHYGLYCENE,SOPHORA FLAVESCENS,13.0,princípio ativo
N-(FOSFONOMETIL)GLICINA,AVIGLICINA,13.0,princípio ativo
DICLORODIJENILTRICLORETANO,CLORODIFENILSULFONA,13.0,grupo químico
METHYLHEPTYLESTER,FOLPETE,12.0,princípio ativo
S METHYTHIOACETIMIDETE,CLOROACETAMIDA,12.0,grupo químico
CARBOXIMETILCELULOSE,CARBOXANILIDA,12.0,grupo químico
DICHLOROPHENOXYACETIC,DICLOFOPE - METILICO,12.0,princípio ativo
DICLORODIFENILTRICLOROETANO,CLORODIFENILSULFONA,12.0,grupo químico
SAL DE SODIO(PRECIPITADOR,CIPROCONAZOL,12.0,princípio ativo
HEXACLORICICLOHEXANO,ESPIRODICLOFENO,11.0,princípio ativo
O-METHYLCARBAMEYLOXINE,METILCARBAMATO DE OXIMA,11.0,grupo químico
ANTICONALINASTARESICO,ACIDO LINOLEICO,11.0,princípio ativo
TETRAHYDROFURFURYL,TETRADIFONA,11.0,princípio ativo
N-FOSFONOMETILGLICINA,AVIGLICINA,11.0,princípio ativo
CHLOROETHYLPHOSPHONIC ACID,CLOROTALONIL,11.0,princípio ativo
N-FOSFONOMETILGLICINA,AVIGLICINA,11.0,princípio ativo
"2,4 DICLOROCENOXIACEYICO",DICLOFOPE - METILICO,10.0,princípio ativo
NAO SABE O NOME,NOVALUROM,10.0,princípio ativo
ISOPROPYLAMMONIUM,CLOROTALONIL,10.0,princípio ativo
ISOPROPYLAMMONIUN N,CLOROTALONIL,10.0,princípio ativo
METHYCARBBAMOYLOXIME,METILCARBAMATO DE OXIMA,10.0,grupo químico
PHOSPHONOMETHYL,FOSMETE,10.0,princípio ativo
"DINETHYLANNONIUN(2,4-DICHLOROPHENOOXY)ACATE.",DINITROANILINA,10.0,grupo químico
HEXACLOROBENZENO,ALACLORO,10.0,princípio ativo
ANTICOLUOSFERCIFICO,ACIDO ABSCISICO,10.0,princípio ativo
"2,4 DICLONOFENOXIACETICO",DICLOFOPE - METILICO,10.0,princípio ativo
S-DIMETILFOSRAMIDOTIOATO,DIMETILCARBAMATO,10.0,grupo químico
DIMELHOXYPYRIMIDIN 46,DICARBOXIMIDA,10.0,grupo químico
100 ML MATA MATO,FORMETANATO,10.0,princípio ativo
ANTOCOLINESTERASICOS,ACIDO ESTEARICO,10.0,princípio ativo
ENER K 40 PLUS,ETER DIFENILICO,10.0,grupo químico
ANTICOLINISTERODICO,ACIDO GIBERELICO,10.0,princípio ativo
NAO SABE O NOME,NOVALUROM,10.0,princípio ativo
N-FOSFOMETILGLICIMA,AVIGLICINA,10.0,princípio ativo
ANTECOLINOSTERASICO,ACIDO LINOLEICO,10.0,princípio ativo
DIMETHOXYPYRIMIDIM,DIMETENAMIDA,10.0,princípio ativo
CLIMETHYLAMMONIUM,CLETODIM,10.0,princípio ativo
ANTICIOLINESTIRAGICO,ACIDO ESTEARICO,10.0,princípio ativo
